List,Story,TrialType,AudioLink,ProbeNumber,SectionNumber,LastLine,LineLength,AudioLength,LangContext,SwitchType,FillerCS,QuestionNumber,QuestionStimuli,Answer1,Answer2,Answer3,Answer4,Answer5,CorrectResponse,ICE,RelevantSentence1,RelevantSentence2,RelevantSentence3,InfoDistanceFromProbe,RelevantSection,RelSecLangContext,InfoContext,InfoLanguage
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec1.m4a,1,1,9,9,65,CSstoryCSsection,CSnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/AudioENG3StuSec2.m4a,2,2,21,12,87,CSstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec3.m4a,3,3,32,11,58,CSstoryCSsection,CSnoun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec4.m4a,4,4,46,14,89,CSstoryCSsection,CSverb,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/AudioENG3StuSec5.m4a,5,5,65,19,104,CSstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec6.m4a,6,6,84,19,88,CSstoryCSsection,CSverb,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/AudioENG3StuSec7.m4a,7,7,114,30,115,CSstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec8.m4a,8,8,138,24,81,CSstoryENGsection,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/AudioENG3StuSec10.m4a,9,10,189,25,101,CSstoryENGsection,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TS,listen,https://github.com/SherlCSPL/Sherlock-Holmes-CSPL-repository/blob/main/3StuCSAudSec11.m4a,10,11,225,36,140,CSstoryENGsection,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
